"","name","value"
"877","dailymail","
          Top Foreign Office mandarin tells shocked MPs he stayed on holiday for ELEVEN DAYS even AFTER Kabul fell as he tries to defend Afghan evacuation shambles after whistleblower revealed WFH civil servants refused to do overtime while allies were left to die
        "
"878","independent","What are the new Covid travel rules?"
"879","mirror","Brit couple's dream £15k wedding in Nigeria in jeopardy after country put on red list"
"880","telegraph","

'Inedible' food, tears and 20min walks around a car park – the grim reality of hotel quarantine

"
"881","wsj","Just How Valuable Is Tax-Loss Harvesting?"
"882","washingtonpost","Man charged in slayings of two Virginia women under scrutiny in D.C. missing person case, police say"
"883","latimes","Watch the L.A. Times Studios short documentary now. "
"884","guardian","Furbabies Victorian Christmas-themed dog pageant"
"885","times","Testing Times"
"886","dailymail","
          Wearing a mask is better than social distancing in EVERY scenario: Risk of catching Covid is up to 225 TIMES lower for people donning coverings, study finds
        "
"887","independent","The Independent Health Check newsletter: Sign up for weekly updates "
"888","mirror","Lottie Tomlinson speaks out on devastating deaths of mum and sister on tragic anniversary"
"889","telegraph","

Who are Ghislaine Maxwell’s sisters?

"
"890","wsj","The Mutual Fund That Ate Wall Street—Based on an Index Few People Know About7 min read"
"891","washingtonpost","87-year-old man dies in Montgomery house fire"
"892","latimes","Save up to 80% on prescription medications"
"893","guardian","Nine Europeans who became British after Brexit – photo essay"
"894","times","Arts and Kraftwerk"
"895","dailymail","
          Nick Cannon breaks down in tears on air as he reveals his 5-month-old son died from brain tumor: Says he held Zen for last time on Sunday
          "
"896","independent","What do I do if my child gets Covid when back at school?"
"897","mirror","I'm A Celeb's David Ginola breaks show rules as he rages after Naughty Boy row"
"898","telegraph","

The AstraZeneca vaccine's unlucky few

"
"899","wsj","How Young Adults Can Start Saving and Investing5 min read"
"900","washingtonpost","D.C.-area forecast: Wintry chill today, snowflakes Wednesday, back to mild by the weekend"
"901","latimes","Bringing L.A. Times to you"
"902","guardian","Scientists find ‘stealth’ version of Omicron that may be harder to track"
"903","times","Lindsell Train admits to worst performance in 20 years"
"904","dailymail","
          Nicky Clarke ties the knot! Hairdressing legend, 63, marries partner of 14 years Kelly Simpkin in double celebration to mark her 40th birthday 
          "
"905","independent","New tool identifies most at-risk groups after Covid vaccination"
"906","mirror","Coleen Nolan addresses four-year feud with sisters - and how death brought them together"
"907","telegraph","

'This is why I decided to adopt a baby at 50'

"
"908","washingtonpost","Known coronavirus deaths and cases per 100,000"
"909","latimes","Play for FREE today"
"910","guardian","Covid live: early signs Omicron more transmissible, UK PM says; Scottish firms urged to let staff work from home"
"911","times","Activist investor’s prescription for change at SSE"
"912","dailymail","
          'I feel like a pig s**t in my head': Richard E. Grant is at his wits' end in £228-per-night UK hotel quarantine - after complaining about the 'grim food'
          "
"913","independent","Non-vaccinated to self-isolate even if returning from low-risk country"
"914","mirror","Russia launches strike bombers near Ukraine in war games ahead of crisis talks with US"
"915","telegraph","

Dear Prue: 'My husband's desperate to get away, but I'm not ready to think about holidays yet'

"
"916","washingtonpost","Dumm’s Pizza and Subs gets a delicious refresh from an unlikely new owner"
"917","latimes","6 award-winning wines for just $39.95 & FREE SHIPPING"
"918","guardian","Prepare a swift response to Russia invading Ukraine, Latvia tells west"
"919","times","Activist investor turns up heat on SSE over renewables spin-off"
"920","dailymail","
          They don't miss a TRIC! Kirsty Gallacher, Alex Jones and Lizzie Cundy lead arrivals as Television and Radio Industries Club kicks off  Christmas lunch
          "
"921","independent","How to navigate all the different ways of working since Covid"
"922","mirror","Man left fuming after £45 nude Greek statue arrives with testicle missing"
"923","telegraph","

The story of Sarah Biffin, the record-breaking Victorian artist born without arms or legs

"
"924","washingtonpost","How Washington Ballet dancer Alexa Torres would spend a perfect day in D.C."
"925","latimes","Top promo codes, deals, and coupons"
"926","guardian","Electrician jailed after castrating men at their request in Germany"
"927","times","Does Omicron panic show that cryptocurrency has got serious?"
"928","dailymail","
          'Harsher punishments will NOT stop us real addicts': Michelle Heaton shares haunting imagess from addiction battle and BLASTS Boris' drug crackdown
          "
"929","independent","People are sharing a fake Trump Christmas card that features NSFW joke"
"930","mirror","Cristiano Ronaldo and Ralf Rangnick myth debunked as Paul Ince observation hits nail on head"
"931","telegraph","

The best luxury Christmas gifts for 2021, from designer scarves to men's aftershave

"
"932","washingtonpost","Alamo Drafthouse Cinema comes to Washington, D.C. — at long last"
"933","latimes","Rep your city. Wear The Times"
"934","guardian","As many as 6 million eligible Britons may not have had a Covid jab. Who are they?"
"935","times","Booths owners take dividend after hanging on to business rates relief"
"936","dailymail","
          Danielle Lloyd wears a white knit co-ord as she dotes on newborn daughter Autumn Rose while out on a winter stroll... 3 weeks after giving birth
          "
"937","independent","Amazon driver pretends to be preacher after delivering surprise parcel"
"938","mirror","'Healthy' footballer, 34, dies after complaining her heart was beating too fast"
"939","telegraph","

Why Viagra could give you a boost beyond the bedroom

"
"940","washingtonpost","Sales at Md.’s Linden Grove in the home stretch"
"941","latimes","Smell and sound: Artist Florian Hecker turns a historic Schindler home into a sensory experience"
"942","guardian","One of suspected killers of Jamal Khashoggi held in Paris"
"943","times","Evergrande bond default ‘looks inevitable’ after payment missed"
"944","dailymail","
          The vital facts you need to know about vitamins before, during and after pregnancy
          "
"945","independent","Norton mocking Henry Cavill over his Warhammer hobby divides viewers"
"946","mirror","Michelle Keegan unrecognisable in unearthed Jeremy Kyle appearance as Corrie character"
"947","telegraph","

What working from home does to your brain

"
"948","washingtonpost","How to build a safe fireplace and chimney "
"949","latimes","How photographer Anwar Hussein’s images helped make Princess Diana an icon"
"950","guardian","UAE cuts working week to four-and-a-half days and moves weekend "
"951","times","Liontrust pounces on Majedie in £120m deal"
"952","dailymail","
          Jack Fincham has drug-driving charge DROPPED just days before his trial after being stopped in his £30,000 Mercedes while on cocaine and Valium
          "
"953","independent","Boris Johnson’s 8 oddest outfits as he’s again compared to Mr Benn"
"954","mirror","Love Island's Camilla Thurlow and Jamie Jewitt announce second pregnancy"
"955","telegraph","

In your 50s or 60s? Your perfect financial plan for retirement

"
"956","washingtonpost","Looking to add storage and style to your kitchen? Try a banquette."
"957","latimes","Fabrizio Moretti, drummer of the Strokes, invites you to step into the rhythm of light "
"958","guardian","Quarantined man goes into allergic shock after Heathrow hotel serves nuts"
"959","times","House prices rise at fastest pace in 15 years"
"960","dailymail","
          Only Fools and Horses' actor Patrick Murray looks worlds away from his Mickey Pearce character... 40 years after the beloved sitcom's debut
          "
"961","independent","GB News guest blames hackers for X-rated video uploaded to his website"
"962","mirror","Ioan Gruffudd and new girlfriend step out for 1st time amid messy Alice Evans split"
"963","telegraph","

How to supercharge a pension in your 40s

"
"964","washingtonpost","Certain foods and beverages can interact with drugs"
"965","latimes","Classic movies in SoCal: ‘Whale Rider,’ ‘The Long Riders,’ an ‘LOTR’ marathon and more"
"966","guardian","WhatsApp criticised for plan to let messages disappear after 24 hours"
"967","times","Britain leads way in tech investment"
"968","dailymail","
          Jennifer Metcalfe and footballer ex Chris Eagles reunite for shopping trip before she drives them home... after split and his driving ban
          "
"969","independent","We asked an American to judge 8 beloved Christmas traditions"
"970","mirror","Alesha Dixon, Kate Beckinsale and Emma Corrin bring the glamour to 24th BFI Awards"
"971","telegraph","

Linzer star biscuits recipe

"
"972","washingtonpost","Tools can help with do-it-yourself massage"
"973","latimes","Rohingya refugees sue Facebook for $150 billion, alleging it fomented violence"
"974","guardian","WHO Europe: jab young children to cut Covid risk at Christmas "
"975","times","Add US crude oil to the mix, demands BP"
"976","dailymail","
          Michelle Mone says man she is accused of racially abusing put a 'culturally insensitive' Native American headdress on her
          "
"977","independent","12 of the wildest moments from Jeremy Strong’s intense interview"
"978","mirror","Sir Cliff Richard's calendar among best-selling of 2022 as fans go wild for topless shotVIDEO"
"979","telegraph","

The best places to eat and drink in Worthing, West Sussex

"
"980","washingtonpost","Total solar eclipse dazzles skies in Antarctica. The photos are spectacular."
